4.89	5.49	5.79	6.09	6.21	6.26	6.24	6.21	5.70
5.20	5.67	5.97	6.24	6.25	6.22	6.15	6.05	5.51
5.45	5.52	5.77	5.95	5.97	6.02	5.92	5.84	5.44
5.46	5.63	5.75	5.98	6.03	6.07	6.00	5.92	5.40
5.43	5.58	5.73	5.83	5.81	5.84	5.80	5.73	5.33
5.42	5.56	5.70	5.77	5.72	5.80	5.77	5.79	5.54
5.38	5.63	5.75	5.86	5.82	5.88	5.87	5.88	5.53
5.44	5.59	5.66	5.66	5.59	5.59	5.56	5.56	5.38
5.42	5.48	5.47	5.36	5.24	5.30	5.33	5.46	5.46
5.17	5.11	5.00	4.88	4.88	5.02	5.19	5.46	5.60
5.04	4.87	4.80	4.72	4.83	4.97	5.14	5.41	5.54
4.76	4.61	4.56	4.55	4.74	4.92	5.12	5.46	5.68
4.50	4.44	4.43	4.51	4.86	5.16	5.44	5.82	5.91
4.32	4.34	4.38	4.48	4.95	5.33	5.60	5.86	5.81
4.28	4.34	4.48	4.62	5.08	5.42	5.68	5.94	5.86
4.04	4.02	4.04	4.16	4.70	5.04	5.34	5.66	5.74
3.76	3.78	3.76	3.76	4.29	4.68	5.01	5.39	5.55
3.15	3.07	2.98	3.01	3.58	4.13	4.70	5.38	5.65
2.40	2.34	2.26	2.26	2.90	3.49	4.21	4.92	5.25
2.15	2.05	2.04	2.33	3.21	3.91	4.62	5.24	5.39
1.97	1.91	1.94	2.17	3.25	3.98	4.76	5.38	5.55
1.87	1.96	2.13	2.52	3.49	4.18	4.91	5.45	5.57
1.96	2.06	2.20	2.63	3.51	4.13	4.78	5.36	5.63
1.96	2.27	2.68	3.47	4.43	4.91	5.41	5.80	5.87
2.24	2.40	2.72	3.29	4.14	4.64	5.16	5.64	5.82
2.43	2.61	2.89	3.44	4.16	4.57	5.04	5.52	5.71
2.52	2.71	2.94	3.32	3.97	4.41	4.91	5.48	5.74
2.60	2.81	2.90	2.97	3.40	3.91	4.56	5.30	5.68
2.78	2.94	3.07	3.20	3.59	3.96	4.46	5.08	5.45
2.63	2.75	2.85	2.94	3.29	3.62	4.19	4.89	5.38
2.66	2.71	2.78	2.81	3.28	3.69	4.29	5.05	5.49
2.69	2.71	2.79	3.02	3.45	3.86	4.45	5.16	5.48
2.56	2.66	2.76	2.81	3.12	3.51	4.07	4.84	5.30
2.71	2.82	2.98	3.30	3.60	3.89	4.42	5.07	5.41
2.75	2.92	3.12	3.29	3.55	3.84	4.34	5.00	5.39
2.97	3.14	3.30	3.56	3.84	4.08	4.54	5.14	5.51
3.05	3.19	3.32	3.46	3.65	3.93	4.36	4.97	5.37
3.19	3.17	3.18	3.17	3.17	3.39	3.83	4.49	4.98
3.13	3.07	3.03	2.90	3.03	3.32	3.81	4.55	5.08
2.86	2.85	2.79	2.76	2.99	3.44	4.11	4.95	5.37
2.69	2.68	2.73	2.87	3.19	3.58	4.18	4.91	5.31
2.58	2.58	2.56	2.61	2.90	3.28	3.80	4.60	5.11
2.64	2.64	2.64	2.71	3.14	3.54	4.14	4.88	5.32
